Time,Rla,Rlo,RCPI,DistanceDelta(m),TimeDelta(s),Speed(km/h)
11:37:24,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:25,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:26,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:27,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:28,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:29,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:30,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:31,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:32,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:33,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:34,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:35,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:36,37.4040041,127.1046397,102,0.0,1.0,0.0
11:37:37,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:38,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:39,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:40,37.4040041,127.1046397,94,0.0,1.0,0.0
11:37:41,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:42,37.4040041,127.1046397,102,0.0,1.0,0.0
11:37:43,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:44,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:45,37.4040041,127.1046397,144,0.0,1.0,0.0
11:37:46,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:47,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:48,37.4040041,127.1046397,114,0.0,1.0,0.0
11:37:49,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:50,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:51,37.4040041,127.1046397,112,0.0,1.0,0.0
11:37:52,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:53,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:54,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:55,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:56,37.4040041,127.1046397,102,0.0,1.0,0.0
11:37:57,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:58,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:59,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:00,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:01,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:02,37.4040041,127.1046397,102,0.0,1.0,0.0
11:38:03,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:04,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:05,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:06,37.4040041,127.1046397,102,0.0,1.0,0.0
11:38:07,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:08,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:09,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:10,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:11,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:12,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:13,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:14,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:15,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:16,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:17,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:18,37.4040041,127.1046397,102,0.0,1.0,0.0
11:38:19,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:20,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:21,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:22,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:23,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:24,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:25,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:26,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:27,37.4040041,127.1046397,142,0.0,1.0,0.0
11:38:28,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:29,37.4040041,127.1046397,96,0.0,1.0,0.0
11:38:30,37.4040041,127.1046397,94,0.0,1.0,0.0
11:38:31,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:32,37.4040041,127.1046397,96,0.0,1.0,0.0
11:38:33,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:34,37.4040041,127.1046397,102,0.0,1.0,0.0
11:38:35,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:36,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:37,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:38,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:39,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:40,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:41,37.4040041,127.1046397,102,0.0,1.0,0.0
11:38:42,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:43,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:44,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:45,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:46,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:47,37.4040041,127.1046397,102,0.0,1.0,0.0
11:38:48,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:49,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:50,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:51,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:52,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:53,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:54,37.4040041,127.1046397,102,0.0,1.0,0.0
11:38:55,37.4040041,127.1046397,100,0.0,1.0,0.0
11:38:56,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:57,37.4040041,127.1046397,98,0.0,1.0,0.0
11:38:58,37.4040041,127.1046397,168,0.0,1.0,0.0
11:38:59,37.4040041,127.1046397,100,0.0,1.0,0.0
11:39:00,37.4040041,127.1046397,168,0.0,1.0,0.0
11:39:01,37.4040041,127.1046397,100,0.0,1.0,0.0
11:39:02,37.4040041,127.1046397,98,0.0,1.0,0.0
11:39:03,37.4040041,127.1046397,100,0.0,1.0,0.0
